2026-08-02 178568086803:27:48 	 a900acb6-2509-42d2-a443-23d0c5049d62 	 /	GET
2026-08-02 178568087603:27:56 	 bb5b4976-ec23-426e-a779-a8e5390e44d5 	 /	GET
2026-08-02 178568160703:40:07 	 4c420760-d489-4a4b-9a3b-ccbe765b754f 	 /	GET
2026-08-02 178568160803:40:08 	 0593abfe-5ecf-43e3-9b39-4c46769209fd 	 /css/style.css	GET
2026-08-02 178568185603:44:16 	 8a7b124b-17bf-47e3-9d70-cc8a14927243 	 /css/style.css	GET
2026-08-02 178568185603:44:16 	 8b566a43-ce39-47a4-b645-8a445b94f0f6 	 /.well-known/appspecific/com.chrome.devtools.json	GET
2026-08-02 178568194703:45:47 	 58b95024-9506-40f1-8c08-d74148c7cd90 	 /	GET
2026-08-02 178568194703:45:47 	 fef4c12d-cc4a-4b95-9c5a-f9459892b6b8 	 /css/style.css	GET
2026-08-02 178568194703:45:47 	 baa028ce-4847-4e9e-abb1-81a8bbbea9bf 	 /.well-known/appspecific/com.chrome.devtools.json	GET
2026-08-02 178574011919:55:19 	 dde8c56e-9555-4e18-a511-27abc852045f 	 /	GET
2026-08-02 178574011919:55:19 	 0cd55574-98cb-4d75-bd2d-b911372f99f0 	 /css/style.css	GET
2026-08-02 178574019219:56:32 	 a24b66a7-5961-4bb1-9bc6-180968426dba 	 /css/style.css	GET
2026-08-02 178574019219:56:32 	 7d64577f-f85a-437d-af6d-a7a0768440dd 	 /.well-known/appspecific/com.chrome.devtools.json	GET
2026-08-02 178574110120:11:41 	 6efaf545-bc19-4147-a362-9dc37e97cfb2 	 /.well-known/appspecific/com.chrome.devtools.json	GET
2026-08-02 178574139920:16:39 	 fd2a8815-d8df-456c-a778-762b606ecd98 	 /my-fake-page	GET
2026-08-02 178574139920:16:39 	 25da4eb9-7e07-498a-97cc-afdfcc6848fd 	 /css/style.css	GET
2026-08-02 178574141220:16:52 	 738c9f27-5d72-4ffd-a99d-f6af7ea8dfc7 	 /css/style.css	GET
2026-08-02 178574141320:16:53 	 7dfcf3f7-d88c-409c-9403-24fa5fe969fa 	 /.well-known/appspecific/com.chrome.devtools.json	GET
2026-08-02 178574176120:22:41 	 7bad0bff-b017-4464-a74c-f2a8624940f1 	 /.well-known/appspecific/com.chrome.devtools.json	GET
2026-08-02 178574235920:32:39 	 7fdbbbea-301b-4d14-a0fe-7f668af7d421 	 /	GET
2026-08-02 178574235920:32:39 	 46f746ee-edac-4959-bb36-8a00910c7077 	 /css/style.css	GET
2026-08-02 178574238620:33:06 	 8986d23c-dbab-46cd-ae55-9403fa270fdc 	 /	GET
2026-08-02 178574238620:33:06 	 e9212f45-41b6-4372-9eb4-6fa6312493d4 	 /css/style.css	GET
2026-08-02 178574240620:33:26 	 4ea982e2-b50e-4b34-a3a0-59c4a7a7315d 	 /new-page.html	GET
2026-08-02 178574240620:33:26 	 7fa6f20b-199d-4267-8fa7-41421b5b67c3 	 /img/img1.jpg	GET
2026-08-02 178574240620:33:26 	 79685601-abf2-4237-a22f-f87fd5fb35e1 	 /css/style.css	GET
2026-08-03 178578526108:27:41 	 99865f5b-b931-4fe7-8255-a25986aa03ed 	 GET	undefined	/css/style.css
2026-08-03 178578526108:27:41 	 112318ab-0cc5-42bf-a579-3104d01a5611 	 GET	undefined	/register
2026-08-03 178578526108:27:41 	 70243354-f4cf-438b-9ac0-3cd5ace8a0b3 	 GET	undefined	/css/style.css
2026-08-03 178578594808:39:08 	 72f050ae-861f-492d-8d1f-a382916ca7c5 	 GET	undefined	/register
2026-08-03 178578594808:39:08 	 7cb705a9-445d-4427-a91a-8b8b880d3554 	 GET	undefined	/css/style.css
2026-08-03 178578603808:40:38 	 e9186a5c-5863-4946-8bfe-4f164041fc12 	 GET	undefined	/register
2026-08-03 178578603908:40:39 	 448669fc-7779-4d37-a31a-a99ce3b6ff8e 	 GET	undefined	/css/style.css
2026-08-04 178590948118:58:01 	 067b037b-6acf-4ed7-ae11-071f40d30ceb 	 GET	undefined	/new-page.html
2026-08-04 178590948118:58:01 	 5863e415-1f3d-47cc-8e22-d32a8169c450 	 GET	undefined	/css/style.css
2026-08-04 178590973919:02:19 	 26b8af13-f5e4-464a-bb2a-da5cc01999fc 	 GET	undefined	/new-page.html
2026-08-04 178590973919:02:19 	 3fc99a46-3fb7-4bd4-b23d-00ae80aff196 	 GET	undefined	/css/style.css
2026-08-04 178590976519:02:45 	 4c86b49c-83ad-4618-9910-ce910d69da60 	 GET	undefined	/new-page.html
2026-08-04 178590976519:02:45 	 816bc0b3-a2f6-4ff0-b234-889465ef14d8 	 GET	undefined	/css/style.css
2026-08-04 178590979819:03:18 	 37ea54e1-5c5e-4089-80e7-93fb2e711849 	 GET	undefined	/.well-known/appspecific/com.chrome.devtools.json
2026-08-04 178592610523:35:05 	 74e0af76-6893-4f0b-898d-ebbd928fe902 	 POST	undefined	/auth/register
2026-08-05 178593122201:00:22 	 bf760d9d-a867-4bfa-ace4-e7d03c7bb60a 	 POST	undefined	/register
2026-08-05 178593160801:06:48 	 311b8858-d540-49a7-af15-d3fe9d2d2905 	 POST	undefined	/register
2026-08-05 178593202601:13:46 	 dc6a153d-f91d-4d07-8fd0-8b88ec0af820 	 POST	undefined	/auth
2026-08-05 178593242401:20:24 	 1c36f70d-4d88-4ea6-9794-715d7a61dc72 	 POST	undefined	/auth
2026-08-05 178593544002:10:40 	 d6282279-95a5-4be2-b528-4760b7ca7937 	 POST	undefined	/auth
2026-08-05 178593552402:12:04 	 442cc304-f6ac-481e-8332-cd4a2b8b67a7 	 POST	undefined	/auth
2026-08-05 178593554402:12:24 	 5ef14530-426b-4076-b4fa-ef7c118f7861 	 GET	undefined	/auth
2026-08-05 178593564102:14:01 	 60cede1f-1660-4491-aea7-affcf78ae6ef 	 POST	undefined	/auth
2026-08-05 178593582102:17:01 	 20f1a760-28ae-4768-a4e8-19b289450e12 	 GET	undefined	/register
2026-08-05 178593593802:18:58 	 4f0a0588-ee42-4391-8778-6d0270a9e81c 	 GET	undefined	/register
2026-08-05 178593594802:19:08 	 f5b23765-0d3d-43e7-af36-3efcf4cef01e 	 GET	undefined	/auth
2026-08-05 178593594802:19:08 	 c6ede751-f35c-45df-9a11-820680a88795 	 GET	undefined	/css/style.css
2026-08-05 178593599402:19:54 	 132c9d93-4217-426e-ac0e-c961b4927eea 	 POST	undefined	/employees
2026-08-05 178593603002:20:30 	 413dc54b-6732-469a-9589-5fb25ef1eee5 	 POST	undefined	/employees
2026-08-05 178593695502:35:55 	 6eb91fdb-aac9-427e-a917-c4a6b3d74c1a 	 POST	undefined	/auth
2026-08-05 178593699102:36:31 	 15a576e8-79fe-4294-8a90-ae40e7738c6c 	 POST	undefined	/auth
2026-08-05 178593703402:37:14 	 1b1925d7-c1ae-4f2d-8e3a-0022199f6e0f 	 POST	undefined	/refresh
2026-08-05 178593706102:37:41 	 9655b5f9-6a59-41a1-806a-6c76a3486279 	 POST	undefined	/refresh
2026-08-05 178593733102:42:11 	 7c9d74e6-41f1-4df6-8b57-114c32c3d4ef 	 POST	undefined	/refresh
2026-08-05 178593748702:44:47 	 73ed0254-6ee4-4b63-b4be-2623f9ec92b5 	 POST	undefined	/register
2026-08-05 178593749702:44:57 	 9f1c5871-388c-4a6f-9673-3c0f77dce79f 	 POST	undefined	/refresh
2026-08-05 178596284209:47:22 	 b6b28d37-4ea3-4008-83a8-57d8476b6e59 	 POST	undefined	/refresh
2026-08-05 178596285709:47:37 	 8815d5e5-6b24-4cce-9625-1018c2208175 	 POST	undefined	/auth
2026-08-05 178596286509:47:45 	 6459583f-bfbc-4e18-90d4-6f4a94002846 	 POST	undefined	/refresh
2026-08-05 178596287609:47:56 	 c7628475-c9b1-46b5-a953-80872e5233a8 	 POST	undefined	/register
2026-08-05 178598830316:51:43 	 5e1281a4-3815-4b46-8847-d5a8d41f5723 	 POST	undefined	/register
2026-08-05 178598831216:51:52 	 5fe7ee1f-f48a-4a00-884c-f79f82cbff8a 	 POST	undefined	/auth
2026-08-05 178598833916:52:19 	 e847728c-8b08-4416-be7e-5c1ab7fffa29 	 POST	undefined	/auth/register
2026-08-05 178598834616:52:26 	 1575708d-c2ec-4673-b317-378101368101 	 POST	undefined	/auth
2026-08-07 178610383900:57:19 	 587bd3fd-5291-49f2-b548-e1aab63eeca8 	 POST	undefined	/auth
2026-08-07 178610392600:58:46 	 e476b3a6-720b-45a9-8fa8-c041969d1fee 	 POST	undefined	/employees
2026-08-07 178610395500:59:15 	 7e602038-901c-4219-bd20-caaec220c075 	 POST	undefined	/register
2026-08-07 178610403701:00:37 	 a2eb81d2-9922-4c47-8ca5-f21fb402b1f3 	 POST	undefined	/auth
2026-08-07 178610407301:01:13 	 2d8865c7-f084-4810-8230-58a39e939d84 	 POST	undefined	/auth
2026-08-07 178610408801:01:28 	 091c194d-c0c4-4a5a-94b9-06781c8539ff 	 POST	undefined	/register
2026-08-07 178610408801:01:28 	 d9d9e368-a627-4976-bb1f-25ae5e4d8538 	 POST	undefined	/register
2026-08-07 178610413501:02:15 	 ddfd7396-9a3f-4dce-9aa0-e83ad8c74e6c 	 POST	undefined	/employees
2026-08-07 178610421701:03:37 	 3ba81465-c5e5-4a75-aee4-66e8a3c9bace 	 POST	undefined	/auth
2026-08-07 178610446001:07:40 	 135cb9b6-586d-457d-86c1-92d577bf61ff 	 POST	undefined	/employees
2026-08-07 178610452801:08:48 	 2471f134-d8f4-4439-b1ae-8be2a67d7357 	 POST	undefined	/register
2026-08-07 178610453701:08:57 	 03b3cab3-176c-48e6-8e97-a258d9e163c6 	 POST	undefined	/register
2026-08-07 178610805002:07:30 	 09f75f6f-1727-46d3-bfb7-8aa9c55abd58 	 POST	undefined	/auth
2026-08-07 178613969210:54:52 	 1ee2015d-ad64-40e6-a6eb-79c3446b42d5 	 POST	undefined	/auth
2026-08-07 178613970410:55:04 	 7c11a986-07c7-4b41-9e4d-dddf0e661c96 	 POST	undefined	/logout
2026-08-07 178613971910:55:19 	 23251d97-f660-4071-931e-6b679dc68af0 	 POST	undefined	/employees
2026-08-07 178614114311:19:03 	 3aa7054a-7fef-4eee-83ae-2c289ee30e85 	 POST	undefined	/employees
2026-08-07 178614117411:19:34 	 be1c66bb-95ef-4026-998f-eb1de43885e5 	 POST	undefined	/employees
2026-08-07 178614119411:19:54 	 df43d2c1-eb91-4103-8193-32a432437858 	 POST	undefined	/employees
2026-08-07 178614120811:20:08 	 a2a53a1b-a548-4f03-8dbd-fb4c80b5ee3e 	 POST	undefined	/employees
2026-08-07 178614124711:20:47 	 6a59dea5-41b3-47bc-920b-0fa0e4909a88 	 POST	undefined	/employees
2026-08-07 178614157311:26:13 	 e0c95685-a5fe-42a7-964d-16f88f600b44 	 POST	undefined	/employees
2026-08-07 178614195611:32:36 	 e3f6665d-489a-47d1-9c27-b5ddd2a605a4 	 POST	undefined	/employees
2026-08-07 178614197611:32:56 	 ac153a0c-d4d8-4b82-84b5-d23c78e024d7 	 POST	undefined	/employees
2026-08-07 178614200211:33:22 	 a862019a-0ad1-4772-8845-106549fb43ac 	 POST	undefined	/employees
2026-08-07 178614201011:33:30 	 d769eb1c-ef9d-4a8d-a6c0-981d14ec1db7 	 POST	undefined	/employees
2026-08-07 178614202311:33:43 	 a445299e-b8bb-4d8c-b801-631c8ee3729e 	 POST	undefined	/employees
2026-08-07 178614207411:34:34 	 d38a88f4-e4e2-4bcb-a2e9-81831bfc36c0 	 POST	undefined	/employees
2026-08-07 178614212911:35:29 	 bbd391a2-c88e-4bfc-81fa-4c763244ede0 	 POST	undefined	/employees
2026-08-07 178614220711:36:47 	 d9511d32-59ed-4d79-a357-b6072432631d 	 POST	undefined	/employees
2026-08-07 178614223811:37:18 	 31536868-8761-45a5-9721-999226817365 	 POST	undefined	/employees
2026-08-07 178615669815:38:18 	 cd2ca851-5cd5-4b9e-9ea7-0290066adfe5 	 POST	undefined	/employees
2026-08-07 178615672015:38:40 	 e4cb86f7-f6b5-4825-9927-4a61e6389e2e 	 POST	undefined	/employees
2026-08-12 178656998710:26:27 	 75ddef52-ab38-4ad6-bdd8-c504893e2ecc 	 POST	undefined	/employees
2026-08-12 178657006410:27:44 	 bbc9baa6-cbeb-4b58-8d09-32cb33193e07 	 POST	undefined	/employees
2026-08-12 178657009610:28:16 	 755cb942-1ce2-4ba3-ae58-6869f9e64545 	 POST	undefined	/employees
2026-08-12 178657012710:28:47 	 dd29ebac-8572-4157-9efd-7a02cb644182 	 POST	undefined	/employees
2026-08-12 178657018310:29:43 	 327c1292-e4d0-4d67-aceb-d615f7ec1143 	 POST	undefined	/employees
2026-08-12 178657022110:30:21 	 5eadf2b9-0872-40fd-aae5-969141e6d785 	 POST	undefined	/register
2026-08-12 178657023210:30:32 	 d9338ef8-0ea7-4b65-80e1-31f32e5be305 	 POST	undefined	/register
2026-08-12 178657024010:30:40 	 c3377560-a15c-492b-9c53-8d00defaafb5 	 POST	undefined	/register
2026-08-12 178657045510:34:15 	 7aacba9a-2025-46da-8491-32011086c683 	 POST	undefined	/register
2026-08-12 178657052210:35:22 	 11172b38-eb04-477a-9f38-0f3220dfbafb 	 POST	undefined	/register
2026-08-12 178657068410:38:04 	 de3e7f7a-cbbd-47aa-bbce-be761ce3e781 	 POST	undefined	/register
2026-08-12 178657169510:54:55 	 8f116266-d432-483e-9112-1f3c17308efb 	 POST	undefined	/auth
